message,timestamp,severity,tags,attributes
unpacking archive,2026-08-20T19:24:22.066071685Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":92160,""duration_ms"":2}"
uploading snapshot,2026-08-20T19:24:22.388411642Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":17285,""duration_ms"":24}"
using build driver railpack-v0.37.0,2026-08-20T19:24:22.584466351Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.37.0,2026-08-20T19:24:23.101060285Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:21ae7ae738d24cd31e3dd8449e1a0aba30420b0f69e0bcdd17046826b80b5f24"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:ccf952c78508afa5e4cc6a5e74e4b71a7504cde3dc33197857522ea2795f5e9b"",""sha256:acb3accac1ea115772d2b67bcc2212e5061039a425c36a7ef47934e8334068aa""]}"
local://prepare-driver,2026-08-20T19:24:23.101061948Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:acb3accac1ea115772d2b67bcc2212e5061039a425c36a7ef47934e8334068aa""}"
local://prepare-context,2026-08-20T19:24:23.101062479Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:ccf952c78508afa5e4cc6a5e74e4b71a7504cde3dc33197857522ea2795f5e9b""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-08-20T19:24:23.101062999Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
local://prepare-driver,2026-08-20T19:24:23.101374497Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:acb3accac1ea115772d2b67bcc2212e5061039a425c36a7ef47934e8334068aa"",""started"":""2026-08-20T19:24:23.100942138Z"",""completed"":""2026-08-20T19:24:23.101041297Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-08-20T19:24:23.102540947Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-08-20T19:24:23.101237722Z""}"
local://prepare-driver,2026-08-20T19:24:23.102549680Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""c6743aa4-1a9b-409f-be34-93a7d5de4598"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:acb3accac1ea115772d2b67bcc2212e5061039a425c36a7ef47934e8334068aa"",""started"":""2026-08-20T19:24:23.101500035Z""}"
